iter	MultiClass
184	0.4699886799
185	0.4695849143
186	0.4688726431
187	0.4686121863
188	0.4680272266
189	0.4673666448
190	0.4669280427
191	0.4663759747
192	0.4656407843
193	0.4652620799
194	0.4645104218
195	0.4636318923
196	0.4629030771
197	0.4623163795
198	0.4616276071
199	0.4610943286
200	0.4599077713
201	0.4589704996
202	0.458112929
203	0.4577316804
204	0.4573060335
205	0.4566892195
206	0.4560344228
207	0.455208813
208	0.4541842585
209	0.4537874493
210	0.4535534028
211	0.452879322
212	0.4522399372
213	0.4518667455
214	0.4511759627
215	0.4506483417
216	0.4499816409
217	0.4494854924
218	0.4490952777
219	0.4485443824
220	0.4480089902
221	0.4473009404
222	0.4465090325
223	0.446244412
224	0.4458018941
225	0.4452940171
226	0.4451665314
227	0.4447546071
228	0.4439401264
229	0.4432895365
230	0.442606014
231	0.4418265589
232	0.4413746014
233	0.4409780441
234	0.4407857762
235	0.4398759058
236	0.4397608691
237	0.4396535036
238	0.4394499651
239	0.4390349149
240	0.4387983535
241	0.4380120232
242	0.4376449502
243	0.4371880039
244	0.4361649897
245	0.4354299122
246	0.4349152934
247	0.4347104723
248	0.4343133734
249	0.4338907069
250	0.4329051546
251	0.4325499395
252	0.43206292
253	0.4311825001
254	0.4308828218
255	0.4305811211
256	0.4301633928
257	0.4297791829
258	0.4292763459
259	0.4288537299
260	0.4286415759
261	0.4276748707
262	0.4268990769
263	0.4264838961
264	0.4261507465
265	0.4258793649
266	0.4248786598
267	0.4242282875
268	0.4236219323
269	0.4229551459
270	0.4225091727
271	0.4219032955
272	0.4213023646
273	0.4205820823
274	0.4199874883
275	0.4196904338
276	0.4193024755
277	0.4186936935
278	0.4184083778
279	0.4182818523
280	0.4179979202
281	0.4177605345
282	0.4173325147
283	0.4168663195
284	0.4160417855
285	0.4156158342
286	0.41484241
287	0.4144464345
288	0.4140722811
289	0.4139660614
290	0.413829661
291	0.4133054021
292	0.4129083336
293	0.4123918899
294	0.4118015808
295	0.4114591827
296	0.4112092962
297	0.4108010146
298	0.4104863607
299	0.4099907378
300	0.409639995
301	0.4093435072
302	0.4088884794
303	0.4085808258
304	0.4081710509
305	0.4077656898
306	0.407273262
307	0.4069308041
308	0.4065223745
309	0.4061126352
310	0.4056085066
311	0.4052765216
312	0.4046735392
313	0.4041652075
314	0.4039412187
315	0.4038246816
316	0.4035686898
317	0.4032102187
318	0.4025496484
319	0.4021055753
320	0.4015690311
321	0.4011071316
322	0.4002759828
323	0.3999686765
324	0.3998044319
325	0.3990830182
326	0.3988970857
327	0.3987929222
328	0.3982651337
329	0.3977200388
330	0.3973424809
331	0.3970690681
332	0.3969335388
333	0.396692525
334	0.3963008429
335	0.3960501243
336	0.3957814051
337	0.3955091012
338	0.395382472
339	0.3948254443
340	0.3947590759
341	0.3943420379
342	0.3938588495
343	0.3935536624
344	0.3932551798
345	0.3928917622
346	0.3923700421
347	0.3920327242
348	0.3915060449
349	0.3912570587
350	0.390877185
351	0.3905941758
352	0.3898037807
353	0.3893473423
354	0.3890985199
355	0.3887176156
356	0.3884290591
357	0.3879562653
358	0.3876719444
359	0.3873538228
360	0.3870844537
361	0.3865448615
362	0.3862806318
363	0.3859471436
364	0.3856280398
365	0.3851055019
366	0.3849048547
367	0.3844297773
368	0.3836864133
369	0.3834543733
370	0.3832665363
371	0.3828901248
372	0.3826838863
373	0.3822591976
374	0.3816912961
375	0.3810804439
376	0.3809740415
377	0.3805822725
378	0.3798535284
379	0.3795772526
380	0.379082087
381	0.3788227642
382	0.3783782336
383	0.378027526
384	0.3774248683
385	0.3770912778
386	0.3766544145
387	0.3761613887
388	0.3758040436
389	0.3755587506
390	0.3751936964
391	0.3748638211
392	0.3745678804
393	0.3743234502
394	0.3740816783
395	0.3737876379
396	0.3732665127
397	0.3731387873
398	0.3728552743
399	0.3724474882
400	0.3720551389
401	0.3715371627
402	0.3712418245
403	0.3710751553
404	0.3709498743
405	0.3705160182
406	0.3698179411
407	0.3695338789
408	0.3690922905
409	0.3687846536
410	0.3683663532
411	0.3679771739
412	0.3676109095
413	0.367452542
414	0.3670916812
415	0.3667242547
416	0.3664899708
417	0.36611342
418	0.3657764382
419	0.3654406803
420	0.365342389
421	0.3651982411
422	0.364878738
423	0.364687712
424	0.3644642152
425	0.3640845808
426	0.3637517073
427	0.3632482383
428	0.362850653
429	0.3626065926
430	0.3623151067
431	0.3618856573
432	0.3612017171
433	0.3608912228
434	0.3606525035
435	0.3603789671
436	0.3600786432
437	0.3596104907
438	0.3593663754
439	0.35915121
440	0.3589705353
441	0.3588283374
442	0.3584695504
443	0.3582743675
444	0.3580463465
445	0.3577568727
446	0.357709245
447	0.3572903649
448	0.3572037522
449	0.3569523651
450	0.3566008611
451	0.356445247
452	0.3561921134
453	0.355872455
454	0.3555193458
455	0.3550184973
456	0.3549193683
457	0.3544887007
458	0.3541421713
459	0.3540193095
460	0.3538728238
461	0.3534314613
462	0.3532085284
463	0.3529224972
464	0.3527375174
465	0.3524770574
466	0.3522743418
467	0.3519545034
468	0.3515564906
469	0.3510789708
470	0.3509146245
471	0.3507055267
472	0.350201805
473	0.3498248904
474	0.3497143229
475	0.3493403864
476	0.3490053896
477	0.3487468551
478	0.3484185585
479	0.3481630233
480	0.3480331155
481	0.3476753008
482	0.3472276404
483	0.3470566563
484	0.3467726257
485	0.3465915863
486	0.3463466785
487	0.3459581875
488	0.3455510974
489	0.3451720918
490	0.3448599614
491	0.3445173846
492	0.3440134893
493	0.3437450395
494	0.3435567711
495	0.3430156221
496	0.3425838371
497	0.3422703349
498	0.3420729061
499	0.3418824784
500	0.3414646043
501	0.3410860797
502	0.3407914638
503	0.340458864
504	0.3399425224
505	0.3396202885
506	0.3393984914
507	0.3391551069
508	0.3387419597
509	0.3384699704
510	0.3382359514
511	0.3377483533
512	0.3372437264
513	0.3370685624
514	0.3369597877
515	0.3367242165
516	0.336543004
517	0.3363884791
518	0.3361022473
519	0.3359537029
520	0.3356297447
521	0.3352716749
522	0.3351044001
523	0.3349978638
524	0.334727636
525	0.3345368695
526	0.3343883418
527	0.3342961447
528	0.3340906602
529	0.3339093716
530	0.3336719018
531	0.3333640308
532	0.3331413211
533	0.3328715601
534	0.3325232313
535	0.3322087974
536	0.3320138669
537	0.3318419998
538	0.3316116027
539	0.3315304511
540	0.3313582799
541	0.3311399809
542	0.3306912686
543	0.3303219151
544	0.3299893187
545	0.3295991563
546	0.3295120503
547	0.3294246521
548	0.3291810595
549	0.3287039923
550	0.3284927209
551	0.3283523132
552	0.3281193014
553	0.3276436018
554	0.3274449805
555	0.3272901526
556	0.3269952912
557	0.3267604919
558	0.3265696396
559	0.3263138034
560	0.3261214826
561	0.3258933048
562	0.3256292841
563	0.3254190131
564	0.3252858802
565	0.3252309121
566	0.3249666338
567	0.3244963201
568	0.3242546683
569	0.3239888413
570	0.3238037805
571	0.3235458662
572	0.3233937064
573	0.3229930825
574	0.3228850857
575	0.3226100155
576	0.3224567191
577	0.322251515
578	0.3219978429
579	0.3217121881
580	0.3214787437
581	0.3212834095
582	0.320936384
583	0.3207795789
584	0.3207397278
585	0.3205511968
586	0.3204097295
587	0.320290106
588	0.3198675623
589	0.3196076668
590	0.3194017196
591	0.3191491139
592	0.31888137
593	0.3186663815
594	0.3184489678
595	0.3182600309
596	0.3180854767
597	0.3179628512
598	0.3177491892
599	0.3174339163
600	0.3172184755
601	0.3170053505
602	0.3169244599
603	0.3166562644
604	0.3163636597
605	0.3161107241
606	0.3159603729
607	0.3158200968
608	0.3157104118
609	0.315431213
610	0.3152771322
611	0.3151710018
612	0.3149304608
613	0.3147810955
614	0.3144473644
615	0.3143019568
616	0.3139830679
617	0.3137174813
618	0.3135660111
619	0.3133335851
620	0.3130247597
621	0.3128600068
622	0.3126689432
623	0.3125191979
624	0.3122370843
625	0.3118959711
626	0.3115755404
627	0.3114159392
628	0.3111697605
629	0.3109886035
630	0.3107248661
631	0.3105726719
632	0.310320021
633	0.3101975294
634	0.3100328167
635	0.309850874
636	0.3095974103
637	0.309327514
638	0.3089867664
639	0.3087740921
640	0.308628599
641	0.3083986161
642	0.3082271088
643	0.3081235839
644	0.3079712799
645	0.3076700505
646	0.3074713707
647	0.3073425589
648	0.30726872
649	0.3069891508
650	0.3067683966
651	0.3066178799
652	0.306388675
653	0.3061782613
654	0.3060445547
655	0.3058450898
656	0.3056329204
657	0.3054443094
658	0.3051689018
659	0.3048431538
660	0.3046723616
661	0.3044632793
662	0.3043426734
663	0.3042843599
664	0.3040099142
665	0.3038305354
666	0.3036530989
667	0.3035575497
668	0.3034250114
669	0.3031927623
670	0.3029826432
671	0.3028164621
672	0.3026914326
673	0.3024821962
674	0.3023214052
675	0.3021242568
676	0.3019759953
677	0.3017194295
678	0.3016036034
679	0.3015539153
680	0.3014758671
681	0.3012872679
682	0.3011090823
683	0.3010299621
684	0.3007782747
685	0.300619326
686	0.300396913
687	0.3002403055
688	0.3000962648
689	0.2998774389
690	0.299631624
691	0.2994560125
692	0.2993095666
693	0.2991339391
694	0.2989674521
695	0.2988397989
696	0.2986274145
697	0.298574084
698	0.2983035772
699	0.2981223134
700	0.2979485098
701	0.2977209432
702	0.2975994924
703	0.2973993952
704	0.2972958604
705	0.2971924857
706	0.2969283835
707	0.2966720823
708	0.2964736704
709	0.2962818174
710	0.2960601512
711	0.2959285299
712	0.295785001
713	0.2956757216
714	0.295534156
715	0.2952918994
716	0.2950586274
717	0.2948351334
718	0.294778557
719	0.2945995783
720	0.2944818444
721	0.2942719509
722	0.2941806632
723	0.293910384
724	0.2938146593
725	0.2935610087
726	0.2934369101
727	0.2933184473
728	0.2932141595
729	0.2929819288
730	0.2927969909
731	0.2926591087
732	0.2924925569
733	0.2923285317
734	0.2922758509
735	0.2920938149
736	0.2919305276
737	0.2917742868
738	0.2915813531
739	0.2914598375
740	0.2913883138
741	0.2912876715
742	0.291071843
743	0.2909236424
744	0.2908297074
745	0.2907283552
746	0.2905168715
747	0.290371022
748	0.2901523218
749	0.2900014979
750	0.2898528344
751	0.2895925034
752	0.2894647333
753	0.2893639662
754	0.2892442868
755	0.2891312669
756	0.2888445675
757	0.2887020053
758	0.2885383064
759	0.2884264036
760	0.288275862
761	0.2881604374
762	0.2878838664
763	0.2876416104
764	0.2874568343
765	0.2872586684
766	0.287207619
767	0.2870397892
768	0.286888275
769	0.2867572799
770	0.2866788168
771	0.2866243944
772	0.2864834424
773	0.2863698103
774	0.2862102092
775	0.2860867342
776	0.2858883453
777	0.285726409
778	0.2855414333
779	0.2853970993
780	0.2853285525
781	0.2852037387
782	0.2850424066
783	0.2848893076
784	0.2848375446
785	0.2846260461
786	0.2845285605
787	0.2844535389
788	0.2843478463
789	0.2840691631
790	0.2839514698
791	0.2838148033
792	0.2837384514
793	0.2835504713
794	0.2833913575
795	0.2830459526
796	0.2829274002
797	0.282797466
798	0.2826006291
799	0.2824838646
800	0.2823675137
801	0.2821558072
802	0.2820477897
803	0.2819542994
804	0.2818527971
805	0.281738623
806	0.2816838622
807	0.2814948554
808	0.2812971158
809	0.2812363997
810	0.2811178812
811	0.2809998146
812	0.28091893
813	0.2807457752
814	0.2806601417
815	0.2805438562
816	0.2804792225
817	0.2803432108
818	0.2802682367
819	0.2801829956
820	0.2799824346
821	0.2798298389
822	0.2796451228
823	0.2795051502
824	0.2793771174
825	0.2792739622
826	0.2791514612
827	0.2790465189
828	0.2789560867
829	0.2787294308
830	0.278577509
831	0.2784768574
832	0.278288808
833	0.2781568138
834	0.2780957923
835	0.2778503146
836	0.277785487
837	0.2776443011
838	0.2775355296
839	0.2773154328
840	0.276954473
841	0.2767732463
842	0.2765539111
843	0.2764610979
844	0.2763820656
845	0.2762126981
846	0.2760657995
847	0.2758984078
848	0.2757770751
849	0.2756701507
850	0.2754781136
851	0.2753729239
852	0.2752142862
853	0.2750522812
854	0.2749301965
855	0.2748151861
856	0.2747393795
857	0.2746890387
858	0.2745187645
859	0.2743941884
860	0.2742992859
861	0.2741501012
862	0.2740704862
863	0.2738868854
864	0.2737694345
865	0.2735994022
866	0.2735334912
867	0.2733877038
868	0.2732765504
869	0.2731490643
870	0.2730450142
871	0.2729521438
872	0.2728406506
873	0.2727318064
874	0.2726371127
875	0.2725118048
876	0.2724280486
877	0.2722869923
878	0.2721103717
879	0.2719642465
880	0.2718559637
881	0.2716880793
882	0.2715461247
883	0.2713826822
884	0.2712612318
885	0.2711698041
886	0.2710790265
887	0.2709397462
888	0.2707588499
889	0.270584465
890	0.2704773624
891	0.2703567544
892	0.2702075201
893	0.2700385959
894	0.2698783527
895	0.2697340193
896	0.2696663607
897	0.2695792985
898	0.2694837146
899	0.2694003622
900	0.26921522
901	0.269169814
902	0.2689979983
903	0.268906329
904	0.2687573375
905	0.2686218954
906	0.2685414585
907	0.2684373052
908	0.2683514402
909	0.2681981323
910	0.2680005575
911	0.2678688987
912	0.2677397155
913	0.2675656057
914	0.2674118361
915	0.2672786199
916	0.2671743042
917	0.2670764039
918	0.2670150625
919	0.2669401855
920	0.266756159
921	0.2666077099
922	0.2665020207
923	0.2663519361
924	0.2662168741
925	0.266088942
926	0.2659338731
927	0.265870236
928	0.2657565257
929	0.2655794512
930	0.2654632751
931	0.2653642742
932	0.2651687953
933	0.26511385
934	0.2650362485
935	0.2649414098
936	0.2648254486
937	0.2646873281
938	0.2645741823
939	0.2645133621
940	0.2644312526
941	0.2642264802
942	0.2640444348
943	0.2639166952
944	0.26381136
945	0.2636684357
946	0.2635214952
947	0.2634228054
948	0.2633086037
949	0.2632023872
950	0.2630156661
951	0.2629446827
952	0.2627114707
953	0.2626536806
954	0.2625564626
955	0.2624066131
956	0.2623444959
957	0.2621694057
958	0.2620536009
959	0.2619175905
960	0.2618028498
961	0.261607654
962	0.2614951038
963	0.261436784
964	0.2612812418
965	0.2611534761
966	0.2610147291
967	0.2609649415
968	0.2608864643
969	0.2607983076
970	0.260687983
971	0.2606509647
972	0.2604940056
973	0.2604059807
974	0.2603434853
975	0.2602386168
976	0.2601231965
977	0.2599913157
978	0.2599493281
979	0.259870001
980	0.259800456
981	0.2597402436
982	0.2596672797
983	0.2596061297
984	0.2594669178
985	0.2593679388
986	0.259293314
987	0.2591668395
988	0.2590757616
989	0.2589505129
990	0.258866094
991	0.2587709574
992	0.2586630319
993	0.2585036622
994	0.2583811551
995	0.2582723372
996	0.2581065205
997	0.2580386998
998	0.2579245523
999	0.2578068734
